battery_id,test_cycles,recursive_mean_abs_error,recursive_max_abs_error,worst_cycle,final_cycle,final_recursive_abs_error,final_actual_soh,final_recursive_soh
B0005,50,0.02328363733812048,0.06920540394285457,168,168,0.06920540394285457,0.7137561578838875,0.6445507539410329
B0006,50,0.048050804504421354,0.07879416980404275,151,168,0.07629329556311837,0.582544752296905,0.5062514567337867
B0007,50,0.025501088496814955,0.060744639260263966,168,168,0.060744639260263966,0.7574910940083355,0.6967464547480715
B0018,39,0.035576229574898685,0.07573371788766481,121,132,0.056883389629793446,0.7229370201580871,0.6660536305282937
